wl,GL,G,BL,B,YL,Y,C,bkg
204.67,951.786,917.857,-14.765,-7.718,183.267,103.953,2792.308,473.75
204.88,950,891.935,-66.857,-30.286,151.139,99.611,-48250,581.081
205.09,581.481,514.815,-101.418,39.716,151.683,97.696,-4027.66,531.624
205.3,-2053.571,-1939.286,-158.268,76.378,162.982,90.08,-8450,405.793
205.51,444.755,365.734,-169.106,28.455,180.795,107.749,2044.792,481.985
205.72,369.318,339.205,-411.667,-53.333,184.771,81.791,2463.855,413.824
205.93,369.519,378.61,-455.357,44.643,183.095,96.141,1653.488,612.785
206.14,504.478,461.194,991.429,-151.429,178.015,100.488,2082,713.776
206.35,390.374,323.529,325.954,51.908,164.563,127.198,3400,1037.692
206.56,473.214,331.548,-2800,-146.154,146.539,176.829,-6179.412,703.535
206.78,555.263,321.711,-550,54.839,140.829,188.926,10905,3073.913
206.99,305.993,166.667,-1846.667,40,118.115,255.072,3866.667,1426
207.2,407.339,198.165,3666.667,644.444,113.146,415.493,2677.907,1634.409
207.41,364.53,169.658,530.508,-188.136,109.842,481.818,1235.676,703.883
207.62,274.021,164.057,461.429,-15.714,101.581,272.139,940.316,551.095
207.83,239.589,146.628,1770.588,341.176,93.135,348.901,970.982,671.795
208.04,217.488,122.167,574.242,243.939,102.302,821.622,1677.037,1139.669
208.25,186.804,128.66,617.544,326.316,109.701,663.095,1075.117,1377.228
208.46,207.183,119.093,-6360,-2820,121.793,-1083.333,673.961,-4442.424
208.67,197.683,121.39,942.5,350,135.851,-563.636,775.884,1218.898
208.88,206.772,112.19,534.524,235.714,143.421,-281.707,875.725,1401.961
209.09,242.017,119.328,243.802,118.182,147.795,-247.929,877.82,646.383
209.3,211.358,107.16,314.943,121.839,150.751,-210.059,1026.027,651.22
209.51,197.253,90.659,452.294,244.954,126.786,-215.789,1133,762.051
209.73,205.222,120.366,732.759,401.724,126.54,-242.273,1837.097,867.262
209.94,259.928,154.152,-877.778,-240,110.882,-418.657,5006.977,2208.955
210.15,217.933,114.286,-1604.348,-669.565,107.028,-460.839,18936.364,949.359
210.36,171.159,52.561,-1330,-460,107.134,-352.349,-4202.083,676.233
210.57,190.836,69.272,544.068,274.576,107.645,-231.183,1.77E+16,817.073
210.78,169.487,59.231,215.596,162.385,121.182,-226.203,1833.036,1142.857
210.99,112.766,49.468,164.848,185.455,127.865,-408.14,1396.599,809.714
211.2,104.033,51.878,178.035,186.127,151.487,-156.098,771.481,481.338
211.41,119.97,60.961,102.797,160.14,147.626,-194.702,794.007,798.817
211.62,117.429,60.143,207.937,331.746,174.088,-652,1365.306,661.749
211.83,109.807,67.013,170.27,313.514,159.799,-1032.5,2654.667,634.328
212.04,120.909,57.576,135.374,117.007,154.646,-1709.091,-1349.612,638.235
